region_id,region,zip
99875,98565; WA; Centralia; Lewis County; Napavine,98565
99874,98564; WA; Centralia; Lewis County; Mossyrock,98564
99873,98563; WA; Aberdeen; Grays Harbor County; Montesano,98563
99872,98562; WA; Aberdeen; Grays Harbor County; Moclips,98562
99870,98560; WA; Shelton; Mason County; Matlock,98560
99868,98558; WA; Seattle-Tacoma-Bellevue; Pierce County; Roy,
99867,98557; WA; Aberdeen; Grays Harbor County; McCleary,98557
99865,98555; WA; Shelton; Mason County; Lilliwaup,98555
99863,98552; WA; Aberdeen; Grays Harbor County; Humptulips,98552
99862,98550; WA; Aberdeen; Grays Harbor County; Hoquiam,98550
99861,98548; WA; Shelton; Mason County; Hoodsport,98548
99860,98547; WA; Aberdeen; Grays Harbor County; Grayland,98547
99859,98546; WA; Shelton; Mason County; Grapeview,98546
99857,98542; WA; Centralia; Lewis County; Ethel,98542
99856,98541; WA; Aberdeen; Grays Harbor County; Elma,98541
99853,98538; WA; Centralia; Lewis County; Chehalis,98538
99852,98537; WA; Aberdeen; Grays Harbor County; Cosmopolis,98537
99851,98536; WA; Aberdeen; Grays Harbor County; Hoquiam,98536
99850,98535; WA; Aberdeen; Grays Harbor County; Copalis Beach,98535
99849,98533; WA; Centralia; Lewis County; Cinebar,98533
99848,98532; WA; Centralia; Lewis County; Chehalis,98532
99847,98531; WA; Centralia; Lewis County,98531
99846,98530; WA; Olympia-Tumwater; Thurston County; Bucoda,98530
99845,98528; WA; Shelton; Mason County; Belfair,98528
99844,98527; WA; Pacific County; South Bend,98527
99843,98526; WA; Aberdeen; Grays Harbor County; Amanda Park,98526
99842,98524; WA; Shelton; Mason County; Allyn,98524
99841,98522; WA; Centralia; Lewis County; Chehalis,98522
99840,98520; WA; Aberdeen; Grays Harbor County,98520
99839,98516; WA; Olympia-Tumwater; Thurston County; Lacey,98516
99838,98513; WA; Olympia-Tumwater; Thurston County; Lacey,98513
99837,98512; WA; Olympia-Tumwater; Thurston County; Tumwater,98512
99832,98506; WA; Olympia-Tumwater; Thurston County; Olympia,98506
99829,98503; WA; Olympia-Tumwater; Thurston County; Lacey,98503
99828,98502; WA; Olympia-Tumwater; Thurston County; Olympia,98502
99827,98501; WA; Olympia-Tumwater; Thurston County; Olympia,98501
99826,98499; WA; Seattle-Tacoma-Bellevue; Pierce County; Lakewood,98499
99825,98498,98498
99818,98467; WA; Seattle-Tacoma-Bellevue; Pierce County; University Place,98467
99817,98466,98466
99816,98465; WA; Seattle-Tacoma-Bellevue; Pierce County; Tacoma,98465
99810,98446,98446
99809,98445,98445
99808,98444,98444
99807,98443; WA; Seattle-Tacoma-Bellevue; Pierce County; Waller,98443
99805,98439; WA; Seattle-Tacoma-Bellevue; Pierce County; Lakewood,98439
99800,98424; WA; Seattle-Tacoma-Bellevue; Pierce County; Fife,98424
998,Duplin County; NC,
99799,98422; WA; Seattle-Tacoma-Bellevue; Pierce County; Tacoma,98422
99798,98421; WA; Seattle-Tacoma-Bellevue; Pierce County; Tacoma,98421
99797,98418; WA; Seattle-Tacoma-Bellevue; Pierce County; Tacoma,98418
99791,98409,98409
99790,98408,98408
99789,98407,98407
99788,98406,98406
99787,98405,98405
99786,98404,98404
99785,98403,98403
99784,98402,98402
99780,98396; WA; Seattle-Tacoma-Bellevue; Pierce County; Buckley,98396
99778,98394; WA; Seattle-Tacoma-Bellevue; Pierce County; Vaughn,
99776,98392; WA; Bremerton-Silverdale; Kitsap County; Suquamish,98392
99775,98391,98391
99774,98390; WA; Seattle-Tacoma-Bellevue; Pierce County; Sumner,98390
99773,98388; WA; Seattle-Tacoma-Bellevue; Pierce County; Steilacoom,98388
99772,98387,98387
99770,98385; WA; Seattle-Tacoma-Bellevue; Pierce County; Buckley,98385
99768,98383; WA; Bremerton-Silverdale; Kitsap County; Silverdale,98383
99767,98382; WA; Port Angeles; Clallam County; Sequim,98382
99766,98381; WA; Port Angeles; Clallam County; Sekiu,98381
99765,98380; WA; Bremerton-Silverdale; Kitsap County; Seabeck,98380
